id,channel,sub_branch,branch,area,region,tgl_transaksi,product_code,product,jenis_product,jenis_transaksi,jumlah_transaksi,total_transaksi
1,"PDS SYARIAH"," PINANG","PONDOK AREN"," CIRENDEU"," JAKARTA 2","2024-07-29 00:00:00",62,"TABUNGAN EMAS",TR,Transfer,1,0
2,"PEGADAIAN DIGITAL"," TERISI"," JATIBARANG"," CIREBON"," BANDUNG","2024-07-29 00:00:00",37,"MULIA ULTIMATE KONVEN",CC,Cicil,1,213130
3,"PEGADAIAN DIGITAL"," BEKONANG"," SUKOHARJO"," SURAKARTA"," SEMARANG","2024-07-29 00:00:00",1,"GADAI KCA",MT,"Minta Tambah",1,412900
4,"PEGADAIAN DIGITAL"," PEKANBARU KOTA"," PEKANBARU KOTA"," PEKANBARU"," PEKANBARU","2024-07-29 00:00:00",62,"TABUNGAN EMAS",BB,"Buyback TE",1,6410000
5,"PEGADAIAN DIGITAL"," SANGGATTA UTARA"," SANGGATTA"," TARAKAN"," BALIKPAPAN","2024-07-29 00:00:00",62,"TABUNGAN EMAS",SL,"Sale (TE)",1,650000
6,"PEGADAIAN DIGITAL"," SUMOROTO"," PONOROGO"," MADIUN"," SURABAYA","2024-07-29 00:00:00",32,"GADAI TAB EMAS",OP,"Open Kredit",1,498000
7,"PEGADAIAN DIGITAL"," CINERE"," PANCORAN MAS"," BOGOR"," JAKARTA 1","2024-07-29 00:00:00",62,"TABUNGAN EMAS",OP,"Open Kredit",1,52500
8,"PEGADAIAN DIGITAL"," VILA NUSA INDAH"," PEKAYON"," JATIWARINGIN"," JAKARTA 1","2024-07-29 00:00:00",37,"MULIA ULTIMATE KONVEN",CC,Cicil,1,609208
9,"PEGADAIAN DIGITAL"," PASAR TAVIP"," BINJAI"," MEDAN 1"," MEDAN","2024-07-29 00:00:00",32,"GADAI TAB EMAS",UG,"Ulang Gadai",1,253600
10,"PEGADAIAN DIGITAL"," BHAKTI"," KISARAN"," RANTAU PRAPAT"," MEDAN","2024-07-29 00:00:00",1,"GADAI KCA",TB,Tebus,1,40932500
11,"PEGADAIAN DIGITAL"," HARDYS"," HARDYS"," DENPASAR"," DENPASAR","2024-07-29 00:00:00",62,"TABUNGAN EMAS",SL,"Sale (TE)",1,17634600
12,"PEGADAIAN DIGITAL"," MEDAN SUNGGAL"," MEDAN SUNGGAL"," MEDAN 1"," MEDAN","2024-07-29 00:00:00",62,"TABUNGAN EMAS",SL,"Sale (TE)",1,1322000
13,"PEGADAIAN DIGITAL"," GUNUNG SAHARI"," GUNUNG SAHARI"," TANJUNG PRIUK"," JAKARTA 2","2024-07-29 00:00:00",1,"GADAI KCA",UG,"Ulang Gadai",1,800400
14,"PEGADAIAN DIGITAL"," TANGGULANGIN"," SIDOARJO"," SURABAYA 2"," SURABAYA","2024-07-29 00:00:00",37,"MULIA ULTIMATE KONVEN",CC,Cicil,1,6355082
15,"PEGADAIAN DIGITAL"," RANGGONG"," PASAR BUTUNG"," MAKASAR 1"," MAKASSAR","2024-07-29 00:00:00",32,"GADAI TAB EMAS",OP,"Open Kredit",1,248000
16,"PEGADAIAN DIGITAL"," MEKARSARI"," KELAPA DUA"," BOGOR"," JAKARTA 1","2024-07-29 00:00:00",32,"GADAI TAB EMAS",OP,"Open Kredit",1,198000
17,"PEGADAIAN DIGITAL"," MANUKAN"," MANUKAN"," SURABAYA 2"," SURABAYA","2024-07-29 00:00:00",32,"GADAI TAB EMAS",TB,Tebus,1,977700
18,"PEGADAIAN DIGITAL"," BATU BATU"," WATANSOPPENG"," PARE-PARE"," MAKASSAR","2024-07-29 00:00:00",12,"GADAI FLEKSI",CC,Cicil,1,1107400
19,"PEGADAIAN DIGITAL"," SEMARAPURA"," SEMARAPURA"," DENPASAR 2"," DENPASAR","2024-07-29 00:00:00",4,KRASIDA,CC,Cicil,1,913800
20,"PEGADAIAN DIGITAL"," PASAR KLIWON"," TELUK BETUNG"," LAMPUNG"," PALEMBANG","2024-07-29 00:00:00",62,"TABUNGAN EMAS",SL,"Sale (TE)",1,2000000
21,"PEGADAIAN DIGITAL"," MASAMBA"," MASAMBA"," PALOPO"," MAKASSAR","2024-07-29 00:00:00",4,KRASIDA,CC,Cicil,1,1686700
22,"PEGADAIAN DIGITAL"," HARAPAN JAYA"," PONDOK UNGU"," JATIWARINGIN"," JAKARTA 1","2024-07-29 00:00:00",1,"GADAI KCA",MT,"Minta Tambah",1,5725100
23,"PEGADAIAN DIGITAL"," KEMIMAUK"," CIKUPA"," TANGERANG"," JAKARTA 2","2024-07-29 00:00:00",37,"MULIA ULTIMATE KONVEN",CC,Cicil,1,391981
24,"PEGADAIAN DIGITAL"," PAUPIRE"," WOLOWONA"," ENDE"," DENPASAR","2024-07-29 00:00:00",62,"TABUNGAN EMAS",SL,"Sale (TE)",1,100000
25,"PEGADAIAN DIGITAL"," PALOPO"," PALOPO"," PALOPO"," MAKASSAR","2024-07-29 00:00:00",62,"TABUNGAN EMAS",SL,"Sale (TE)",1,5850000
26,"PEGADAIAN DIGITAL"," THAMBARUNI"," FAK FAK"," SORONG"," MANADO","2024-07-29 00:00:00",12,"GADAI FLEKSI",TB,Tebus,1,7637300
27,"PEGADAIAN DIGITAL"," WARU SPORT"," MUARA KARANG"," TANJUNG PRIUK"," JAKARTA 2","2024-07-29 00:00:00",1,"GADAI KCA",MT,"Minta Tambah",1,144400
28,"PEGADAIAN DIGITAL"," TANJUNG"," TABALONG"," BANJARMASIN"," BALIKPAPAN","2024-07-29 00:00:00",62,"TABUNGAN EMAS",SL,"Sale (TE)",1,17169386
29,"PEGADAIAN DIGITAL"," MUARAENIM"," MUARAENIM"," PALEMBANG"," PALEMBANG","2024-07-29 00:00:00",1,"GADAI KCA",TB,Tebus,1,1139600
30,"PEGADAIAN DIGITAL"," DUFADUFA"," TERNATE"," MANADO 2"," MANADO","2024-07-29 00:00:00",12,"GADAI FLEKSI",TB,Tebus,1,2467400
